,U1,U2,U3,U4
Bulgaria,-0.3202928963087136,-1.0907231685564902,1.0810707501615784,-1.1964688508581993
Czech Republic,1.241992798241555,0.19147405983552426,0.2555832891080215,-0.02362067978362686
Denmark,-0.020869493761072156,0.023530537615849174,-1.4967051914709215,0.47888259768173136
Germany,1.0883467538524918,0.6273948879001348,-0.9846931752984012,-0.4184822136009611
Estonia,-0.20950558796982655,-1.1342564957774337,-0.09481346227662124,-0.7099206915136064
Ireland,-1.0529830940908618,0.20897111330361456,-0.046918210732161424,0.6138732302936897
Greece,-3.2110567527086307,1.7254695673424978,0.5421074294395796,-1.473193518455851
Spain,0.6739225128084066,1.8368443093501687,-0.03120093396622057,0.6503368403204749
France,-1.2386503240144389,-0.5444126424820989,-0.6062826814885351,0.34317460072395445
Croatia,-0.10542266126122975,-0.8735763580839728,-0.01608879451555389,-1.4512959120231512
Italy,-0.17783111952622285,-0.16015775517398534,-1.3390811294839002,0.014807204788821728
Cyprus,-0.4186815552241922,1.539217141839085,1.438628424677968,-0.47746614672570487
Latvia,0.4104725103292748,-0.738957033269064,0.3701692714210479,-0.6457052167692503
Lithuania,1.1803747349745342,0.08002588894887937,0.3815547867452769,-0.06948614018737374
Luxembourg,-0.9050953964441399,-0.4271668148049271,-0.9378859590388908,3.356029315440373
Hungary,1.5573016256438046,0.3285923313132845,0.7000005275659309,0.03985154959020375
Malta,-0.1915080232081115,-0.5055928698847425,-0.2824906649878992,0.49101848491350925
Netherlands,0.4562506210450326,-0.5864140710531747,3.7091558407607996,1.9279993129333024
Austria,1.2791160043452456,1.1971291165511346,-1.4227632053346073,0.19715731030881872
Poland,1.6074292633612772,0.4804240819531655,0.01888426423689573,-0.5180108082396665
Portugal,0.018717116660089017,0.45300712924969855,-0.09903880778911194,0.4799783063705806
Romania,0.010644856799447837,-0.18936299725761555,0.5136946113252892,-0.8978596273776205
Slovenia,-0.0620207841138353,-0.3452238903432801,-0.77937276374731,0.18771030768140928
Slovakia,0.6262849924640055,-0.6251068418764394,0.27318321758287883,-0.9645085087773573
Finland,-0.14162718041565342,-0.8247454578903785,-0.6473481855249877,-0.30854767582262277
Sweden,-0.5392960018554764,-0.7043273829300538,-1.196600780955172,-0.20972733667085725
United Kingdom,-1.5560129196227603,0.05794361418061828,0.6972515335850277,0.5834742657589799
